timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orig_time
2025-10-11 08:00:00,0.15,-0.22,0.9,4.72,6.33,0.19,00:00:00
2025-10-11 08:00:00,0.17,-0.21,1.09,0.4,6.22,0.12,00:00:00
2025-10-11 08:00:00,0.16,-0.2,0.91,4.59,6.28,0.06,00:00:01
2025-10-11 08:00:00,0.17,-0.21,1.11,-0.19,6.34,0.15,00:00:01
2025-10-11 08:00:00,0.14,-0.21,0.89,3.92,6.24,0.09,00:00:02
2025-10-11 08:00:00,0.16,-0.19,1.1,-1.68,6.28,0.06,00:00:02
2025-10-11 08:00:00,0.17,-0.2,0.91,3.52,6.3,0.03,00:00:03
2025-10-11 08:00:00,0.14,-0.18,1.1,-2.65,6.38,0.07,00:00:03
2025-10-11 08:00:00,0.13,-0.19,1.1,-3.11,6.35,0.09,00:00:04
2025-10-11 08:00:00,0.16,-0.22,0.89,2.89,6.38,0.16,00:00:04
2025-10-11 08:00:00,0.16,-0.2,0.9,2.11,6.31,0.19,00:00:05
2025-10-11 08:00:00,0.17,-0.18,1.08,-4.01,6.34,0.04,00:00:05
2025-10-11 08:00:01,0.16,-0.22,1.09,-4.72,6.37,0.01,00:00:06
2025-10-11 08:00:01,0.17,-0.19,0.92,0.43,6.32,0.13,00:00:06
2025-10-11 08:00:01,0.14,-0.2,0.89,0.18,6.24,0.18,00:00:07
2025-10-11 08:00:01,0.17,-0.19,1.06,-4.85,6.21,0.04,00:00:07
2025-10-11 08:00:01,0.16,-0.21,1.09,-4.61,6.35,0.07,00:00:08
2025-10-11 08:00:01,0.16,-0.2,0.92,-1.21,6.33,0.06,00:00:08
2025-10-11 08:00:01,0.17,-0.19,0.9,-1.92,6.36,0.18,00:00:09
2025-10-11 08:00:01,0.15,-0.21,1.05,-4.95,6.36,0.01,00:00:09
2025-10-11 08:00:01,0.14,-0.18,0.91,-3.13,6.34,0.18,00:00:10
2025-10-11 08:00:01,0.16,-0.19,1.08,-5.25,6.3,0.01,00:00:10
2025-10-11 08:00:01,0.14,-0.2,0.91,-3.7,6.32,0.16,00:00:11
2025-10-11 08:00:01,0.13,-0.21,1.06,-4.84,6.37,0.1,00:00:11
2025-10-11 08:00:02,0.17,-0.21,0.91,-4.53,6.29,0.12,00:00:12
2025-10-11 08:00:02,0.15,-0.19,1.04,-4.06,6.35,0.12,00:00:12
2025-10-11 08:00:02,0.16,-0.19,1.04,-2.85,6.35,0.14,00:00:13
2025-10-11 08:00:02,0.14,-0.19,0.93,-4.83,6.4,0.17,00:00:13
2025-10-11 08:00:02,0.14,-0.19,1.04,-1.98,6.28,0.02,00:00:14
2025-10-11 08:00:02,0.15,-0.2,0.93,-5.4,6.2,0.01,00:00:14
2025-10-11 08:00:02,0.17,-0.22,1.03,-1.57,6.22,0.07,00:00:15
2025-10-11 08:00:02,0.16,-0.21,0.91,-4.93,6.32,0.16,00:00:15
2025-10-11 08:00:02,0.17,-0.18,0.93,-4.41,6.23,0.07,00:00:16
2025-10-11 08:00:02,0.16,-0.21,1.03,0.02,6.32,0.07,00:00:16
2025-10-11 08:00:02,0.17,-0.19,1.03,1.11,6.33,0.12,00:00:17
2025-10-11 08:00:03,0.14,-0.18,0.95,-4.46,6.25,0.16,00:00:17
2025-10-11 08:00:03,0.16,-0.2,1.02,1.24,6.36,0.09,00:00:18
2025-10-11 08:00:03,0.17,-0.19,0.95,-3.56,6.34,0.0,00:00:18
2025-10-11 08:00:03,0.17,-0.2,1.02,2.91,6.22,0.03,00:00:19
2025-10-11 08:00:03,0.13,-0.22,0.93,-2.72,6.3,0.12,00:00:19
2025-10-11 08:00:03,0.14,-0.18,0.97,-2.06,6.2,0.03,00:00:20
2025-10-11 08:00:03,0.14,-0.22,1.02,3.22,6.2,0.03,00:00:20
2025-10-11 08:00:03,0.14,-0.21,1.01,4.13,6.37,0.19,00:00:21
2025-10-11 08:00:03,0.14,-0.21,0.97,-1.67,6.29,0.17,00:00:21
2025-10-11 08:00:03,0.13,-0.21,1.01,4.13,6.26,0.01,00:00:22
2025-10-11 08:00:03,0.17,-0.19,0.94,-0.28,6.39,0.03,00:00:22
2025-10-11 08:00:03,0.16,-0.19,1.01,4.94,6.22,0.0,00:00:23
2025-10-11 08:00:04,0.13,-0.19,0.97,0.55,6.4,0.1,00:00:23
2025-10-11 08:00:04,0.15,-0.21,0.99,1.2,6.22,0.01,00:00:24
2025-10-11 08:00:04,0.16,-0.21,1.0,4.64,6.22,0.1,00:00:24
2025-10-11 08:00:04,0.14,-0.18,0.95,2.75,6.39,0.16,00:00:25
2025-10-11 08:00:04,0.13,-0.18,1.01,4.8,6.21,0.14,00:00:25
2025-10-11 08:00:04,0.16,-0.2,0.98,2.96,6.23,0.07,00:00:26
2025-10-11 08:00:04,0.16,-0.18,1.0,4.63,6.3,0.15,00:00:26
